No.,Words,Meaning
1,low-key,modest; secret
2,drive sb up the wall,drive sb crazy
3,black and white,unambiguous
4,sloppy,careless
5,kick sb out,force sb to leave
6,over the top,too much
7,ancient,very old
8,watch out for sth/sb,be careful of sth/sb
9,figure sth out,understand or solve sth
10,slack off,work less hard than usual
11,overpaid,paid too much
12,better off,be in a more favorable situation
13,grab sth,obtain sth
14,take sth out of context,misrepresent the meaning of sth
15,freebie,sth provided free of charge
16,clear-cut,well-defined
17,cut sb off,interrupt and stop sb from talking
18,gray area,morally ambiguous area
19,fiddly,detailed and awkward to use
20,crystal-clear,unambiguous
21,downtime,period of leisure or relaxation
22,check sth out,examine sth or visit a place
23,get it,understand
24,hold sth/sb up,delay or stop sth/sb
25,legit,proper
26,catch up,meet up to update each other
27,hyped,very excited
28,attention-seeking,deliberately behaving to attract attention
29,gonna do,going to do
30,get into sth,become interested in sth
31,have butterflies in one窶冱 stomach,feel nervous
32,cut corners,take shortcuts
33,pretty much,almost
34,big deal,very important thing
35,get the ball rolling,begin
36,spot sth/sb,see sth/sb
37,on the dot,exactly
38,bring sth up,raise sth
39,pricey,expensive
40,touchy subject,sensitive topic
41,one-off,non-recurring
42,bug sb,annoy sb
43,rusty,not as good as sb/sth was
44,bright and early,very early in the day
45,give sb a buzz,give sb a call
46,work on sth,improve on sth
47,in-your-face,aggressive; bold
48,come clean,be completely honest
49,downer,sth/sb that makes you unhappy
50,packed,very crowded
